apple|quả táo
banana|quả chuối
orange|quả cam
grape|quả nho
watermelon|quả dưa hấu
pineapple|quả dứa
mango|quả xoài
strawberry|quả dâu tây
blueberry|quả việt quất xanh
raspberry|quả phúc bồn tử
blackberry|quả mâm xôi đen
cherry|quả anh đào
pear|quả lê
peach|quả đào
plum|quả mận
apricot|quả mơ
kiwi|quả kiwi
lemon|quả chanh vàng
lime|quả chanh xanh
coconut|quả dừa
papaya|quả đu đủ
guava|quả ổi
pomegranate|quả lựu
dragonfruit|quả thanh long
durian|quả sầu riêng
jackfruit|quả mít
lychee|quả vải
longan|quả nhãn
starfruit|quả khế
grapefruit|quả bưởi
passionfruit|quả chanh dây
cat|con mèo
dog|con chó
cow|con bò
pig|con heo
chicken|con gà
duck|con vịt
goose|con ngỗng
sheep|con cừu
goat|con dê
horse|con ngựa
rabbit|con thỏ
mouse|con chuột
rat|con chuột cống
bird|con chim
fish|con cá
shark|con cá mập
whale|con cá voi
dolphin|con cá heo
octopus|con bạch tuộc
crab|con cua
shrimp|con tôm
frog|con ếch
snake|con rắn
lizard|con thằn lằn
tiger|con hổ
lion|con sư tử
bear|con gấu
elephant|con voi
giraffe|con hươu cao cổ
zebra|con ngựa vằn
monkey|con khỉ
panda|con gấu trúc
fox|con cáo
wolf|con sói
deer|con nai
kangaroo|con chuột túi
koala|con gấu koala
owl|con cú mèo
eagle|con đại bàng
parrot|con vẹt
penguin|con chim cánh cụt
